id;weave_title;max_ar;ideal_ar;min_ar;date_uploaded;last_edited;tutorial_articles;other_articles;tags
1029;Celtic Byzantine;;5.5|4.3|6.3;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;August 12, 2010, 7:26 pm;July 21, 2011, 4:49 pm;;;European||Chain||Variant||Helm
103;Mobius Spiral;;6.0;;November 8, 2002, 2:37 am;August 11, 2011, 8:56 pm;;;Chain||Spiral||Mobized||Modification||Mobius
1030;Single Locked Byzantine;;5.5|4.3|6.3;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;August 13, 2010, 9:33 am;June 17, 2011, 4:50 pm;;;European||Chain||Variant
1031;Double Locked Byzantine;;5.5|4.3|6.3;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;August 13, 2010, 9:56 am;March 10, 2011, 8:45 pm;;;European||Chain||Modification
1032;B2g Pillar;;6.3|4.9|5.6;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;August 16, 2010, 5:59 pm;March 10, 2011, 6:33 am;;;European||Chain||Variant
1033;Liquorice Lace;;3.9;;August 17, 2010, 10:02 pm;April 1, 2011, 7:04 pm;;;European||Chain||Variant
1034;Half Byzantine Barrel;;5.3;5.0;August 21, 2010, 1:44 am;August 3, 2011, 3:26 pm;;;European||Chain||Variant||Rhino
1035;Byzantine Rover;;5.8;5.5;August 21, 2010, 3:49 pm;July 21, 2011, 4:36 pm;;;European||Chain||Variant||Rhino
1036;Half Byzantine Rover;;5.8;5.5;August 21, 2010, 3:59 pm;August 3, 2011, 3:31 pm;;;European||Chain||Variant||Rhino
1037;Jacob's Staircase;;4.0;3.5;August 21, 2010, 8:09 pm;January 6, 2013, 11:17 pm;;;European||Chain||Spiral||Shaggy||Variant
1038;Celtic Half Byzantine;;4.5|5.5|5.1;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;August 23, 2010, 5:29 pm;February 23, 2015, 11:06 pm;;;European||Japanese||Chain||Variant||Helm
1039;Hille Chain;;4.3|7|5;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;August 27, 2010, 5:48 pm;August 2, 2011, 7:11 pm;;;European||Japanese||Chain||Variant||Helm
104;Spiral Web;;4.6;;November 8, 2002, 2:37 am;February 1, 2018, 3:33 pm;;;Sheet||Web||Radial||Spiral||Variant||Mobius
1040;Arkham;;5.5;5.0;September 3, 2010, 5:50 pm;May 30, 2012, 2:28 pm;Arkham;;Persian||Chain||Variant||Helm
1041;Oriental Aura;;4.0|5.2|4.7;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 6, 2010, 8:15 pm;February 23, 2015, 11:07 pm;;;European||Chain||Variant||Helm
1042;Tetraorb hex web (CIS configuration);;6.2;5.0;September 6, 2010, 10:57 pm;April 20, 2018, 3:39 pm;;;Japanese||Sheet||Web||Orbital||NSR||Variant
1043;Tetraorb hex web (TRANS configuration);;6.2;6.0;September 6, 2010, 10:58 pm;April 20, 2018, 3:38 pm;;;Japanese||Sheet||Web||Radial||Orbital||NSR||Variant
1044;Tetraorb square web;;6.2;6.0;September 6, 2010, 10:58 pm;April 17, 2018, 8:30 pm;;;Japanese||3D||Orbital||NSR||Variant
1045;Tetraorb cube;;6.2;6.0;September 6, 2010, 11:00 pm;April 17, 2018, 8:31 pm;;;Japanese||3D||Orbital||NSR||Variant
1046;Tetraorb line;;6.2;6.0;September 9, 2010, 4:41 pm;April 17, 2018, 8:31 pm;;;Japanese||Chain||Orbital||NSR||Variant
1047;Ravensara;;5|4.1;;September 10, 2010, 8:51 pm;February 23, 2015, 11:07 pm;;;European||Band||Variant||Helm
1048;Bethmoora;;5.0|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 13, 2010, 4:42 pm;February 23, 2015, 11:07 pm;;;European||Japanese||Band||Variant||Helm
1049;;;;;;;;;
105;Y-Weave;;5.0;;November 22, 2003, 12:49 am;August 2, 2011, 6:25 pm;;;Persian||Chain||Variant
1050;;;;;;;;;
1051;Jens Pind Linkage 3x3;;9.4;;September 20, 2010, 4:48 pm;February 6, 2015, 4:42 pm;;;Persian||Chain||Variant||Mobius
1052;Jens Pind Linkage 3x2.5;;9.4;;September 20, 2010, 5:04 pm;August 5, 2011, 7:04 pm;;;Persian||Chain||Variant||Mobius
1053;Persian Abomination #1;;4.5|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 20, 2010, 8:42 pm;February 6, 2012, 8:31 pm;;;European||Persian||Band||Variant
1054;Persian Wyverntail;;4.5|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 20, 2010, 8:43 pm;January 7, 2013, 10:02 am;;;European||Persian||Band||Variant
1055;Persian Wyvernscale;;4.5|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 20, 2010, 8:43 pm;February 6, 2012, 8:39 pm;;;European||Persian||Band||Variant
1056;Lady of the Mansion;;4.5|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 20, 2010, 8:43 pm;April 1, 2011, 6:57 pm;;;European||Persian||Chain||Variant
1057;Persian Wyvern Leftovers;;4.5|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 20, 2010, 8:44 pm;February 6, 2012, 8:32 pm;;;European||Persian||Band||Variant
1058;Persian Wyvernback;;4.5|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 20, 2010, 8:44 pm;February 6, 2012, 8:33 pm;;;European||Persian||Band||Variant
1059;Persian Wyvernflank;;4.5|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;September 20, 2010, 8:44 pm;February 6, 2012, 8:38 pm;;;European||Persian||Band||Variant
106;Japanese Rain Chain;;8.5;;November 8, 2002, 2:37 am;December 26, 2012, 8:00 pm;Quarter Persian (?) 5-in-1 (CGI);;Chain||Variant||Mobius
1060;Quarnity;;6.0;;September 25, 2010, 1:57 am;August 5, 2011, 7:22 pm;Quarnity;;European||Sheet||Progression||Variant
1061;Sidewinder;;4.5;;September 27, 2010, 1:40 am;June 17, 2011, 4:49 pm;;;European||Sheet||Unbalanced||Variant
1062;Shuriken-Bo;;;;September 28, 2010, 1:43 am;April 1, 2011, 6:26 pm;;;European||Japanese||Chain||Variant
1063;Shuriken;;;;September 28, 2010, 1:46 am;April 1, 2011, 6:27 pm;;;European||Japanese||Sheet||Alpha
1064;Kurumaken;;;;September 28, 2010, 2:03 am;April 1, 2011, 6:28 pm;;;European||Japanese||Chain||Modification
1065;Allure;;4.0;;October 1, 2010, 6:34 pm;February 2, 2012, 7:21 pm;Symmetrical Allure Sheet;;Chain||Alpha||Mage||Mobius
1066;Allure Sheet;;4.3;;October 1, 2010, 6:46 pm;October 12, 2011, 9:29 pm;Symmetrical Allure Sheet;;Sheet||Variant||Mage||Mobius
1067;Alternating Allure Sheet;;4.3;;October 1, 2010, 6:49 pm;October 12, 2011, 9:28 pm;Symmetrical Allure Sheet;;Sheet||Band||Variant||Mage||Mobius
1068;Persian Allure;;4.0;;October 1, 2010, 7:02 pm;August 5, 2011, 7:16 pm;;;Persian||Chain||Variant||Mobius
1069;Spiralis Interruptus;;4.0;;October 1, 2010, 7:24 pm;August 5, 2011, 7:30 pm;;;Chain||Variant||Mobius
107;Japanese 6 in 1 Box Chain;;5.5|5.8|6.3;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;November 8, 2002, 2:37 am;August 2, 2011, 7:37 pm;;;Japanese||Chain||Variant
1070;European Derangement;;4.0;;October 22, 2010, 7:09 pm;March 10, 2011, 9:08 pm;;;European||Chain||Unbalanced||Variant
1071;European Derangment Sheet;;4.0;;October 22, 2010, 7:13 pm;March 11, 2011, 4:35 am;;;European||Sheet||Unbalanced||Variant
1072;Ilkorin;;3.5;;October 22, 2010, 7:18 pm;August 4, 2011, 9:15 pm;;;European||Chain||Variant||Mobius
1073;Lachesis;;5.6;;October 22, 2010, 7:25 pm;February 6, 2012, 8:12 pm;;;European||Persian||Band||Variant
1074;Orbit;;3.0|4.0|5.0;;October 25, 2010, 5:11 pm;January 29, 2015, 4:12 am;Orbit Chain;;Japanese||Chain||Orbital||Variant
1075;Flat Byz 4in1 Tube;;4.0;;November 6, 2010, 8:04 pm;October 1, 2019, 10:15 am;Flat Byz 4in 1 Tube (CGI);;European||Band||Variant
1076;Helm Sheet;;3.4|5.9;;November 13, 2010, 1:01 am;August 2, 2011, 7:03 pm;;;European||Japanese||Sheet||Variant||Helm
1077;Orbit Sheet;;3.2|4.3|5.5;;November 13, 2010, 1:02 am;May 14, 2018, 12:49 am;;;Japanese||Sheet||Variant
1078;Moorish Rose;;7.0;;December 1, 2010, 5:36 pm;January 13, 2019, 2:21 am;Moorish Rose (CGI)||Moorish Rose - A geometric supplemental guide;;Sheet||Radial||Progression||Variant||Mobius
1079;Half Persian 4 Sheet 6 Crossover;;7.5;;December 2, 2010, 10:28 am;January 17, 2016, 12:57 am;;;Persian||Sheet||Biased||Variant
108;Persian Box;;4.6;;November 8, 2002, 2:37 am;August 3, 2011, 4:27 pm;;;European||Chain||Inverted||Variant
1080;Demeter;;5.7;;December 17, 2010, 6:22 pm;July 21, 2011, 5:23 pm;;;European||Sheet||Variant||Rhino
1081;Half Persian 4 Sheet 8 Crossover;;10.0;;December 22, 2010, 8:34 pm;August 1, 2011, 8:31 pm;;;Persian||Sheet||Variant
1082;Razorback;;5.8;;January 3, 2011, 5:19 pm;February 6, 2012, 8:42 pm;;;European||Band||Inverted||Modification
1083;Io;;4.0|5.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;January 5, 2011, 6:34 pm;February 23, 2015, 11:08 pm;;;European||Chain||Modification||Helm
1084;Pacman;;5.1;4.8;January 6, 2011, 11:58 pm;September 6, 2011, 11:42 pm;;;European||Chain||Variant
1085;Vertical Dragon;;3.9|6.8;;January 7, 2011, 6:06 pm;June 21, 2011, 6:20 pm;;;European||Sheet||Variant||Helm
1086;Cloudy Day;4.5;3.9;3.6;January 14, 2011, 6:04 pm;January 10, 2016, 8:21 pm;Cloudy Day Tutorial;;European||Persian||Sheet||Variant||Rhino||Mage
1087;XX-weave;;6.9;5.9;January 15, 2011, 4:01 pm;May 16, 2019, 1:28 pm;XX-weave Tutorial;;Persian||Chain||Variant
1088;Enthrall;;2.9|3.9|4.9;;January 25, 2011, 6:19 pm;January 4, 2016, 12:36 pm;;;Japanese||Chain||Variant
1089;Hex Cable;;2.9|3.9|4.9;;January 19, 2011, 3:56 pm;March 11, 2011, 9:08 pm;;;Japanese||Chain||Captive||Variant
109;Strangemaille;;3.2;;August 5, 2009, 2:49 pm;August 3, 2011, 5:11 pm;Strangemaille;;European||Sheet||Unbalanced||Variant
1090;Byzantine Cross Chain;;4.0|3.0;;January 26, 2011, 7:47 pm;March 9, 2011, 7:45 pm;;;European||Chain||Spiked||Modification
1091;FHPK3-1 sheet;;6.3;;January 26, 2011, 4:18 pm;July 29, 2011, 5:45 pm;;;Persian||Sheet||Variant
1092;Orbit Web Base 6;;2.9|3.9|5.1;;February 1, 2011, 2:55 am;March 20, 2018, 8:12 pm;;;Japanese||Sheet||Web||Radial||Orbital||Variant
1093;Persephone Web;;4.7;;February 1, 2011, 2:17 pm;August 3, 2011, 4:26 pm;;;European||Sheet||Web||Variant||Helm||Rhino
1094;Chelydra;;3.7|4.6|4.0;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;February 1, 2011, 8:20 pm;February 6, 2012, 8:05 pm;;;European||Japanese||Chain||Variant
1095;Ganymede;;5.5;;February 15, 2011, 5:53 pm;August 3, 2011, 4:26 pm;;;European||Chain||Variant||Helm||Rhino
1096;Three Quarters Persian X back;;4.9;;February 17, 2011, 6:41 pm;November 29, 2011, 7:33 pm;;;Persian||Chain||Modification
1097;Captive Roundmaille;;3.9;;February 21, 2011, 6:13 pm;March 9, 2015, 9:43 pm;;Closing Captive Roundmaille [Construction,Connections,Orbital/Captive];European||Chain||Captive||Modification
1098;Half Persian 3 in 1 Triplicate (Sicilian);;5.9;;March 9, 2011, 9:28 pm;May 20, 2016, 5:10 pm;Half Persian 3 in 1 Triplicate (Sicilian) Tutorial;;Persian||Chain||Variant
1099;Elfsheet;;4.2;4.0;March 11, 2011, 3:28 am;July 1, 2014, 1:19 am;Elfsheet||Elfsheet (Expansion/Contraction)||Elfsheet (from CGMaille) (Ex-CGMaille Tutorial);;European||Sheet||Variant||Mobius
11;Dragonscale;;3.9|6.1;3.7|5.7;August 6, 2008, 4:14 am;July 16, 2019, 7:53 pm;"Dragonscale (CGI; Preclose Large Rings)||Dragonscale (CGI; Preclose Small Rings)||Dragonscale||Dragonscale Expansion (Horizontal Direction)||Dragonscale Expansion (Vertical Direction)||Joining Dragonscale and European 6 in 1||Dragonscale (from CGMaille) (Ex-CGMaille Tutorial)||Joining Dragonscale (Ex-CGMaille Tutorial)";"Dragonscale; 45 Degree Corner [Armour,European,Hauberk,Connections]||Advanced Maille Basketry [Sculpture]";European||Sheet||Scaled||Alpha||Helm
110;Inverted Round;;4.3;3.5;February 22, 2005, 2:22 am;November 15, 2018, 1:20 am;Inverted Round (CGI)||Inverted Round (from CGMaille) (Ex-CGMaille Tutorial);Inverted Round-based Weave Progressions & Variants [European,Connections,Orbital/Captive,Weave Theory]||Finishing Triplicate Chain Weaves [Jewelry,Clasps]||Closing Captive Roundmaille [Construction,Connections,Orbital/Captive]||Reinforced Weaves [European,Persian,Weave Theory];European||Chain||Inverted||Alpha||Beginner
1100;Three Quarters Persian Sheet - HP3 Sheet 6 Hybrid;;;;April 8, 2011, 4:56 pm;November 29, 2011, 7:33 pm;;;Persian||Sheet||Biased||Variant
1101;Not Tao Linear;;4.0|6.4;AR'sShownareinMultipleWireSizes,seeWeaveDescriptionfordetails.;May 5, 2011, 1:25 pm;August 30, 2017, 6:37 pm;;;European||Japanese||Chain||Variant||Helm
1102;Bumpa;;3.7|6.2;;May 15, 2011, 7:54 pm;July 21, 2011, 4:31 pm;;;European||Chain||Variant||Helm
1103;Staggered Quad Captive Inverted Round Sheet;;6.3|8.3;;June 30, 2011, 12:27 am;March 19, 2018, 5:41 pm;;Inverted Round-based Weave Progressions & Variants [European,Connections,Orbital/Captive,Weave Theory];European||Sheet||Inverted||Captive||Progression||Variant
1104;Vanilla;;3.0;;August 18, 2011, 1:36 pm;February 4, 2014, 2:33 pm;Vanilla;;European||Chain||Variant||Rhino
1105;Tight Spiral Sheet;;;;August 24, 2011, 5:59 pm;March 21, 2012, 6:03 am;;;Sheet||Variant||Mobius
1106;Muzzy;;;;August 28, 2011, 9:32 pm;August 31, 2011, 3:55 pm;;;Persian||Chain||Modification
1107;Orbital Helm Chain;;8.0;;August 25, 2011, 8:09 am;November 18, 2011, 7:05 pm;;;Japanese||Chain||Orbital||Variant
1108;Captive Orbital 4 in 1 Box;;8.0;;August 25, 2011, 7:36 am;May 13, 2019, 5:09 am;;;European||Chain||Captive||Orbital||Modification
1109;Captive Orbital Triangular Sheet;;8.0;;August 25, 2011, 7:49 am;November 18, 2011, 7:04 pm;;;European||Japanese||Sheet||Orbital||Variant
111;Turkish Round;;3.7;3.1;February 25, 2005, 12:06 am;January 31, 2016, 3:09 am;Turkish Round (CGI);Closing Captive Roundmaille [Construction,Connections,Orbital/Captive]||Inverted Round-based Weave Progressions & Variants [European,Connections,Orbital/Captive,Weave Theory]||Finishing Triplicate Chain Weaves [Jewelry,Clasps];European||Chain||Alpha
1110;Orbital 2 in 1 Spiral;;8.0;;August 25, 2011, 8:05 am;November 18, 2011, 7:04 pm;;;Japanese||Chain||Spiral||Orbital||Variant
1111;Interconnected 2 in 2 Orbital Unit Chain;;8.0;;August 25, 2011, 8:15 am;June 4, 2016, 2:03 pm;Interconnected 2 in 2 Orbital Unit Chain Weave Tutorial (CGI);;European||Japanese||Chain||Orbital||Variant||Helm
1112;Universal Wreath;;7.2;;August 29, 2011, 3:53 am;August 29, 2012, 1:56 am;;;Sheet||Web||Radial||Variant||Mobius
1113;NMF2011;;7.9;;August 25, 2011, 8:02 am;November 17, 2011, 8:41 pm;;;European||Sheet||Inverted||Variant||Mobius
1114;8 in 1 Orbital Sheet;;7.2;;September 1, 2011, 4:46 pm;October 30, 2018, 2:02 am;;;Japanese||Sheet||Orbital||Variant||Helm
1115;Not Again;;5.5;;September 2, 2011, 4:41 pm;November 5, 2012, 7:11 pm;;;Persian||Chain||Variant
1116;Half Persian 2 in 1 Sheet 4;;5.4;;August 25, 2011, 7:58 am;April 21, 2019, 3:02 pm;Persian 4 in 1 Sheet (Flip Method)||Persian 4 in 1 Sheet (Eye Method)||Half Persian 2 Sheet 4 in 1 Tutorial;Understanding the Persian Family [Persian,Connections,Weave Theory,Theory]||Half Persian 2 Sheet 4 in 1 AR Comparison [Persian,Weave Theory];Persian||Sheet||Variant
1117;Half Persian 2 in 1 Sheet 4 Box;;4.3;4.2;August 25, 2011, 7:59 am;September 15, 2018, 5:06 am;;;Persian||Chain||Variant
1118;Elephant Head Sheet;;6.1|5.2;;August 25, 2011, 7:34 am;November 18, 2011, 7:15 pm;;;European||Japanese||Sheet||Variant
1119;Moon42;;4.0;3.7;September 14, 2011, 11:52 pm;June 26, 2013, 3:43 pm;Moon42 Tutorial;;European||Chain||Variant||Helm
112;Puppy Dog Eyes;;4.0;;December 14, 2005, 5:29 am;July 21, 2011, 4:15 pm;;;European||Japanese||Chain||Variant
1120;Moon 4 in 2 Captive;;7.2;;September 6, 2011, 2:47 pm;December 5, 2019, 5:38 pm;;;European||Chain||Captive||Variant||Helm
1121;AGSG;;5.3;4.8;September 19, 2011, 12:38 pm;October 10, 2018, 12:38 am;;;Persian||Chain||Modification
1122;Arkheris;;6.0;5.6;September 19, 2011, 9:08 pm;February 6, 2012, 7:53 pm;;;European||Persian||Band||Variant
1123;Locked Helmantine;;6.0|3.9;5.6|3.4;September 19, 2011, 9:11 pm;September 20, 2011, 9:33 pm;;;European||Chain||Variant||Helm
1124;Full Persian Elven Rope;;5.7;5.2;September 22, 2011, 12:47 pm;July 31, 2019, 7:43 pm;;"Full Persian 6 in 1: Composition; Progression; Variants; Modifications; Sheet Expansions [Construction,Persian,Weave Theory]";European||Persian||Chain||Variant||Mage||Mobius
1125;Full Persian Elven Twist;;6.5;;September 26, 2011, 11:39 am;July 31, 2019, 7:43 pm;;"Full Persian 6 in 1: Composition; Progression; Variants; Modifications; Sheet Expansions [Construction,Persian,Weave Theory]";Persian||Chain||Variant||Mage||Mobius
1126;Acute Mandala;;3.3|5.0|5.8;;October 20, 2011, 12:14 pm;November 2, 2018, 8:52 am;Acute Mandala;;European||Japanese||Unit||Modification||Helm
1127;Quadratus;;4.2|3.0;;October 20, 2011, 12:12 pm;October 20, 2011, 3:18 pm;;;Japanese||Unit||Modification
1128;Tao Vortex;;4.2|4.0|3.0;;October 21, 2011, 9:24 am;May 29, 2018, 1:04 am;;;European||Japanese||Unit||Modification||Helm
1129;Gemini;;5.0;4.7;October 24, 2011, 12:27 pm;July 31, 2019, 7:37 pm;;"Full Persian 6 in 1: Composition; Progression; Variants; Modifications; Sheet Expansions [Construction,Persian,Weave Theory]";European||Persian||Chain||Variant
113;Wavemaille;;5.5;;November 8, 2002, 2:37 am;August 3, 2011, 5:35 pm;;;European||Sheet||Inverted||Variant
1130;Staggered Persian Elven Rope;;5.7;5.2;October 22, 2011, 5:45 pm;May 23, 2013, 2:26 pm;;;European||Persian||Chain||Modification||Mage||Mobius
1131;Mercury;5.0;3.9;3.7;November 1, 2011, 6:24 pm;October 26, 2018, 5:43 pm;;;European||Chain||Variant
1132;Messenger;;4.2;4.0;November 4, 2011, 1:00 am;May 23, 2013, 2:23 pm;;;European||Chain||Variant||Mage||Mobius
1133;Minerva;;5.0;4.8;November 4, 2011, 10:36 pm;March 7, 2013, 2:38 am;Minerva Tutorial;;European||Chain||Variant
1134;Messenger Web;;4.2;4.0;November 4, 2011, 4:06 pm;May 23, 2013, 2:24 pm;;;European||Sheet||Web||Variant||Mage||Mobius
1135;Messenger Sheet;;5.5;5.0;November 4, 2011, 5:47 pm;May 23, 2013, 2:24 pm;;;European||Sheet||Variant||Mage||Mobius
1136;Half Persian 2 Sheet 4 Variant Alternating;;5.2;;November 2, 2011, 11:13 pm;November 18, 2011, 7:24 pm;;;Persian||Sheet||Variant
1137;Apollo Sheet;;6.0;5.7;November 6, 2011, 8:09 pm;November 7, 2011, 5:50 pm;;;European||Persian||Sheet||Variant
1138;Pacman Sheet;;5.7;5.2;November 6, 2011, 5:08 pm;November 7, 2011, 5:57 pm;;;European||Sheet||Variant
1139;Bubble Chain;;10.0;;November 5, 2011, 9:12 am;January 24, 2014, 3:06 am;;;Japanese||Chain||Variant
114;Boxmail;;5.3;;May 3, 2008, 9:47 pm;February 21, 2019, 2:55 am;Boxmail (CGI);;European||Sheet||Variant
1140;Bubble Wrap;;10.0;;November 6, 2011, 1:40 am;November 9, 2011, 5:01 pm;;;Japanese||Sheet||Variant
1141;Waning Moon;;;7.6;November 12, 2011, 9:15 pm;November 12, 2011, 10:49 pm;;;European||Chain||Orbital||Variant
1142;Crescent Moon;;5.4|6.4;;November 12, 2011, 10:17 pm;November 15, 2011, 2:25 am;;;European||Chain||Variant||Helm
1143;Mars;;5.0;4.8;November 14, 2011, 1:30 pm;November 24, 2013, 5:28 pm;"Mars; Phobos; Deimos Tutorial";;European||Persian||Chain||Variant||Helm
